project_id,url,scrape_status,batch_id,scraped_at,retry_count,error_message
339366,https://www.digitaling.com/projects/339366.html,processing,001,2025-08-11 10:35:24,0,
335796,https://www.digitaling.com/projects/335796.html,processing,001,2025-08-11 10:36:06,0,
333731,https://www.digitaling.com/projects/333731.html,processing,001,2025-08-11 10:36:33,0,
329258,https://www.digitaling.com/projects/329258.html,processing,001,2025-08-11 10:37:00,0,
328740,https://www.digitaling.com/projects/328740.html,processing,001,2025-08-11 10:37:21,0,
328404,https://www.digitaling.com/projects/328404.html,processing,001,,15,数据提取失败
314474,https://www.digitaling.com/projects/314474.html,processing,001,2025-08-11 10:38:00,0,
304849,https://www.digitaling.com/projects/304849.html,processing,001,2025-08-11 10:38:30,0,
281504,https://www.digitaling.com/projects/281504.html,processing,001,2025-08-11 10:38:55,0,
260399,https://www.digitaling.com/projects/260399.html,processing,001,2025-08-11 10:39:20,0,
258292,https://www.digitaling.com/projects/258292.html,processing,001,2025-08-11 10:39:42,0,
256983,https://www.digitaling.com/projects/256983.html,processing,001,2025-08-11 10:40:28,0,
256157,https://www.digitaling.com/projects/256157.html,processing,001,2025-08-11 10:40:57,0,
249164,https://www.digitaling.com/projects/249164.html,processing,001,2025-08-11 10:41:17,0,
246105,https://www.digitaling.com/projects/246105.html,processing,001,2025-08-11 10:41:41,1,
245181,https://www.digitaling.com/projects/245181.html,processing,001,2025-08-11 10:42:04,0,
226036,https://www.digitaling.com/projects/226036.html,processing,001,2025-08-11 10:42:27,0,
213310,https://www.digitaling.com/projects/213310.html,processing,001,2025-08-11 10:42:53,0,
206702,https://www.digitaling.com/projects/206702.html,processing,001,2025-08-11 10:43:24,0,
206394,https://www.digitaling.com/projects/206394.html,processing,001,2025-08-11 10:43:47,0,
205771,https://www.digitaling.com/projects/205771.html,processing,001,2025-08-11 10:44:09,0,
203440,https://www.digitaling.com/projects/203440.html,processing,001,2025-08-11 10:44:30,0,
193024,https://www.digitaling.com/projects/193024.html,processing,001,2025-08-11 10:44:46,0,
192996,https://www.digitaling.com/projects/192996.html,processing,001,2025-08-11 10:45:02,0,
193003,https://www.digitaling.com/projects/193003.html,processing,001,2025-08-11 10:45:19,0,
344273,https://www.digitaling.com/projects/344273.html,processing,001,2025-08-11 10:45:44,1,
344161,https://www.digitaling.com/projects/344161.html,processing,001,2025-08-11 10:46:03,0,
340129,https://www.digitaling.com/projects/340129.html,processing,001,2025-08-11 10:46:26,0,
339779,https://www.digitaling.com/projects/339779.html,processing,001,2025-08-11 10:46:46,0,
334424,https://www.digitaling.com/projects/334424.html,processing,001,2025-08-11 09:38:24,0,
332898,https://www.digitaling.com/projects/332898.html,processing,001,2025-08-11 09:38:41,0,
328880,https://www.digitaling.com/projects/328880.html,processing,001,2025-08-11 09:39:10,0,
325611,https://www.digitaling.com/projects/325611.html,processing,001,2025-08-11 09:39:32,0,
325268,https://www.digitaling.com/projects/325268.html,processing,001,2025-08-11 09:39:57,0,
319255,https://www.digitaling.com/projects/319255.html,processing,001,2025-08-11 09:40:33,0,
313865,https://www.digitaling.com/projects/313865.html,processing,001,2025-08-11 09:40:58,0,
313396,https://www.digitaling.com/projects/313396.html,processing,001,2025-08-11 09:41:16,0,
310050,https://www.digitaling.com/projects/310050.html,processing,001,2025-08-11 09:41:36,0,
310162,https://www.digitaling.com/projects/310162.html,processing,001,2025-08-11 09:41:58,0,
304835,https://www.digitaling.com/projects/304835.html,processing,001,2025-08-11 09:42:22,0,
287251,https://www.digitaling.com/projects/287251.html,processing,001,2025-08-11 09:42:45,0,
281518,https://www.digitaling.com/projects/281518.html,processing,001,2025-08-11 09:43:05,0,
281574,https://www.digitaling.com/projects/281574.html,processing,001,2025-08-11 09:43:23,0,
279852,https://www.digitaling.com/projects/279852.html,processing,001,2025-08-11 09:43:43,0,
279460,https://www.digitaling.com/projects/279460.html,processing,001,2025-08-11 09:44:02,0,
