project_id,url,brand,agency,title,publish_date,last_updated
46731,https://www.digitaling.com/projects/46731.html,PING AN 中国平安,信广龙,保险广告一定要贩卖焦虑？平安只想和你说说旅行的美好,2018-11-29,2025-08-07 14:27:51
45443,https://www.digitaling.com/projects/45443.html,PING AN 中国平安,nan,中国平安：这支短片里，一定有你奔跑追梦的模样,2018-11-17,2025-08-07 14:27:51
26292,https://www.digitaling.com/projects/26292.html,PING AN 中国平安,一案,3.8女神节，90后娘子军用橙色温暖整个魔都,2018-03-20,2025-08-07 14:27:51
22855,https://www.digitaling.com/projects/22855.html,PING AN 中国平安,nan,中国平安史上最短广告！胡歌演绎“平安Fintech Style”,2017-08-17,2025-08-07 14:27:51
21897,https://www.digitaling.com/projects/21897.html,PING AN 中国平安,中北明夷,平安支教十周年感人H5刷屏《一双眼眸 望穿十年》,2017-06-06,2025-08-07 14:27:51
20594,https://www.digitaling.com/projects/20594.html,PING AN 中国平安,icreative,中国平安发布2017预言家晚报，胡歌为你解读,2017-02-08,2025-08-07 14:27:51
19474,https://www.digitaling.com/projects/19474.html,PING AN 中国平安,INFINITY,中国平安 × 喜马拉雅FM ：「永不消失的电波」好车主电台曝光,2016-11-11,2025-08-07 14:27:51
19044,https://www.digitaling.com/projects/19044.html,PING AN 中国平安,nan,平安人寿微电影：这个假期，把你欠父母的那张照片还了吧,2016-09-27,2025-08-07 14:27:51
18887,https://www.digitaling.com/projects/18887.html,PING AN 中国平安,icreative,中国平安：平安福，给运动一个漂亮理由,2016-09-24,2025-08-07 14:27:51
18967,https://www.digitaling.com/projects/18967.html,PING AN 中国平安,nan,约李白一起跑个步？,2016-09-21,2025-08-07 14:27:51
18319,https://www.digitaling.com/projects/18319.html,PING AN 中国平安,icreative,中国平安：传递炬能量，接力不凡 双屏互动,2016-08-03,2025-08-07 14:27:51
